"","MSZoning","Neighborhood","BldgType","HouseStyle","OverallQual","YearBuilt","YearRemodAdd","ExterQual","ExterCond","HeatingQC","CentralAir","X1stFlrSF","GrLivArea","FullBath","KitchenQual","GarageCars","SaleCondition","SalePrice","NHood","MSZone","BType","HStyle","SCond","KQual","ExQual","Cair","HQC","ECond","SalePrice.log","X1stFlrSF.log","GrLivArea.log"
"46","RL","NridgHt","TwnhsE","1Story",9,2005,2005,"Ex","TA","Ex","Y",1752,1752,2,"Ex",2,"Normal",319900,6,4,3,3,5,4,4,1,5,3,12.6757637259376,7.46851327149634,7.46851327149634
"47","RL","Mitchel","1Fam","1.5Fin",7,2003,2003,"Gd","TA","Ex","Y",1518,2149,1,"Gd",2,"Abnorml",239686,3,4,3,2,5,3,3,1,5,3,12.3870850123755,7.32514895795557,7.67275789664251
"48","FV","Somerst","1Fam","1Story",8,2006,2006,"Gd","TA","Ex","Y",1656,1656,2,"Gd",3,"Normal",249700,5,5,3,3,5,3,3,1,5,3,12.4280154762679,7.4121603349452,7.4121603349452
"49","RM","OldTown","2fmCon","2Story",4,1920,2008,"TA","TA","Gd","Y",736,1452,2,"TA",0,"Partial",113000,2,2,1,4,6,2,2,1,4,3,11.6351430976945,6.60123011872888,7.28069719538474
"50","RL","Sawyer","1Fam","1Story",5,1966,1966,"TA","TA","Ex","Y",955,955,1,"TA",1,"Normal",127000,3,4,3,3,5,2,2,1,5,3,11.7519423654407,6.86171134048073,6.86171134048073
"51","RL","Gilbert","1Fam","2Story",6,1997,1997,"TA","TA","Gd","Y",794,1470,2,"TA",2,"Normal",177000,4,4,3,4,5,2,2,1,4,3,12.083905011556,6.67708346124714,7.29301767977278
"52","RM","BrkSide","1Fam","1.5Fin",6,1934,1950,"TA","TA","TA","Y",816,1176,1,"TA",2,"Normal",114500,2,2,3,2,5,2,2,1,3,3,11.6483301019764,6.70441435496411,7.06987412845857
"53","RM","IDOTRR","Duplex","1Story",5,1963,1963,"Fa","TA","TA","N",816,816,1,"TA",2,"Normal",110000,1,2,2,3,5,2,1,0,3,3,11.6082356447746,6.70441435496411,6.70441435496411
"55","RL","NAmes","1Fam","SLvl",5,1955,1955,"TA","TA","TA","Y",1360,1360,1,"TA",2,"Normal",130000,3,4,3,3,5,2,2,1,3,3,11.7752897294377,7.2152399787301,7.2152399787301
"56","RL","NAmes","1Fam","1Story",6,1964,1964,"TA","TA","Gd","Y",1425,1425,2,"TA",2,"Normal",180500,3,4,3,3,5,2,2,1,4,3,12.1034860567551,7.26192709270275,7.26192709270275
"57","FV","Somerst","Twnhs","2Story",8,1999,2000,"Gd","TA","Ex","Y",983,1739,2,"Gd",2,"Abnorml",172500,5,5,2,4,5,3,3,1,5,3,12.0581525154536,6.89060912014717,7.46106551435428
"58","RL","CollgCr","1Fam","2Story",7,2004,2004,"Gd","TA","Ex","Y",860,1720,2,"Gd",2,"Normal",196500,4,4,3,4,5,3,3,1,5,3,12.1884177102915,6.75693238924755,7.4500795698075
"59","RL","StoneBr","1Fam","2Story",10,2006,2006,"Ex","TA","Ex","Y",1426,2945,3,"Gd",3,"Partial",438780,6,4,3,4,6,3,4,1,5,3,12.9917534274931,7.26262860097424,7.98786409608569
"60","RL","CollgCr","1Fam","1Story",5,1972,1972,"TA","TA","Ex","Y",780,780,1,"TA",1,"Normal",124900,4,4,3,3,5,2,2,1,5,3,11.7352686961137,6.65929391968364,6.65929391968364
"61","RL","SawyerW","1Fam","1Story",6,2004,2004,"TA","TA","Ex","Y",1158,1158,1,"Gd",2,"Partial",158000,4,4,3,3,6,3,2,1,5,3,11.9703503120091,7.05444965813294,7.05444965813294
"62","RM","IDOTRR","1Fam","2.5Unf",5,1920,1996,"TA","TA","TA","N",581,1111,1,"Fa",1,"Normal",101000,1,2,3,2,5,1,2,0,3,3,11.5228757958234,6.36475075685191,7.01301578963963
"63","RL","NridgHt","TwnhsE","1Story",8,2006,2006,"Gd","TA","Ex","Y",1370,1370,2,"Gd",2,"Normal",202500,6,4,3,3,5,3,3,1,5,3,12.2184951655287,7.22256601882217,7.22256601882217
"64","RM","OldTown","1Fam","2Story",7,1921,1950,"TA","TA","Gd","Y",902,1710,2,"TA",2,"Normal",140000,2,2,3,4,5,2,2,1,4,3,11.8493977015914,6.80461452006262,7.44424864949671
"65","RL","CollgCr","1Fam","2Story",7,1997,1998,"TA","TA","Ex","Y",1057,2034,2,"Gd",2,"Normal",219500,4,4,3,4,5,3,2,1,5,3,12.2991075114974,6.96318998587024,7.61775957660851
"66","RL","NridgHt","1Fam","2Story",8,2004,2005,"Gd","TA","Ex","Y",1143,2473,2,"Gd",3,"Normal",317000,6,4,3,4,5,3,3,1,5,3,12.6666570528594,7.04141166379481,7.81318726752142
"67","RL","NAmes","1Fam","1Story",7,1970,1989,"TA","TA","TA","Y",2207,2207,2,"TA",2,"Normal",180000,3,4,3,3,5,2,2,1,3,3,12.1007121298723,7.69938940625674,7.69938940625674
"68","RL","CollgCr","1Fam","1Story",7,2003,2003,"Gd","TA","Ex","Y",1479,1479,2,"Gd",2,"Normal",226000,4,4,3,3,5,3,3,1,5,3,12.3282902782544,7.2991214627108,7.2991214627108
"69","RM","OldTown","1Fam","1Story",4,1945,1950,"TA","Gd","TA","Y",747,747,1,"TA",1,"Normal",80000,2,2,3,3,5,2,2,1,3,4,11.289781913656,6.61606518513282,6.61606518513282
"70","RL","ClearCr","1Fam","1.5Fin",7,1953,1953,"Gd","TA","TA","Y",1304,2287,2,"TA",2,"Normal",225000,4,4,3,2,5,2,3,1,3,3,12.3238556811866,7.1731917424866,7.73499619402278
"71","RL","NAmes","1Fam","1Story",7,1973,1973,"TA","Gd","Ex","Y",2223,2223,2,"TA",2,"Normal",244000,3,4,3,3,5,2,2,1,5,4,12.4049235042753,7.7066129139642,7.7066129139642
"72","RL","Mitchel","1Fam","1Story",4,1982,2006,"TA","TA","TA","Y",845,845,1,"TA",2,"Normal",129500,3,4,3,3,5,2,2,1,3,3,11.7714361601217,6.73933662735717,6.73933662735717
"73","RL","Gilbert","1Fam","2Story",7,1998,1998,"TA","TA","Gd","Y",885,1718,2,"TA",2,"Normal",185000,4,4,3,4,5,2,2,1,4,3,12.1281111040605,6.78558764500793,7.4489161025442
"74","RL","NAmes","1Fam","1Story",5,1954,2003,"TA","TA","Gd","Y",1086,1086,1,"TA",2,"Normal",144900,3,4,3,3,5,2,2,1,4,3,11.8837991283088,6.99025650049388,6.99025650049388
"75","RM","OldTown","1Fam","2Story",3,1915,1950,"Gd","Gd","Gd","N",840,1605,2,"TA",1,"Normal",107400,2,2,3,4,5,2,3,0,4,4,11.5843154610569,6.73340189183736,7.38087903556412
"76","RM","MeadowV","Twnhs","SLvl",4,1973,1973,"TA","TA","TA","Y",526,988,1,"TA",1,"Normal",91000,1,2,2,3,5,2,2,1,3,3,11.418614785499,6.26530121273771,6.89568269774787
"77","RL","NAmes","1Fam","1Story",4,1956,1956,"TA","TA","Ex","Y",952,952,1,"TA",1,"Normal",135750,3,4,3,3,5,2,2,1,5,3,11.8185702377962,6.85856503479136,6.85856503479136
"78","RM","BrkSide","1Fam","1.5Fin",5,1948,2001,"TA","TA","TA","Y",1072,1285,1,"TA",1,"Normal",127000,2,2,3,2,5,2,2,1,3,3,11.7519423654407,6.97728134163075,7.15851399732932
"79","RL","Sawyer","Duplex","1Story",4,1968,1968,"TA","TA","TA","N",1768,1768,2,"TA",0,"Normal",136500,3,4,2,3,5,2,2,0,3,3,11.8240798936072,7.47760424319759,7.47760424319759
"80","RM","OldTown","1Fam","2Story",5,1910,1981,"TA","TA","Gd","Y",682,1230,1,"TA",2,"Normal",110000,2,2,3,4,5,2,2,1,4,3,11.6082356447746,6.52502965784346,7.11476944836646
"81","RL","NAmes","1Fam","2Story",6,1968,1968,"TA","Gd","TA","Y",1182,2142,2,"Gd",1,"Normal",193500,3,4,3,4,5,3,2,1,3,4,12.173032791452,7.07496319796604,7.66949525100769
"82","RM","Mitchel","TwnhsE","1Story",6,1998,1998,"TA","Gd","Ex","Y",1337,1337,2,"TA",2,"Normal",153500,3,2,3,3,5,2,2,1,5,4,11.9414558460094,7.19818357710194,7.19818357710194
"83","RL","Somerst","1Fam","1Story",8,2007,2007,"TA","TA","Ex","Y",1563,1563,2,"Gd",3,"Normal",245000,5,4,3,3,5,3,2,1,5,3,12.4090134895269,7.35436233042148,7.35436233042148
"84","RL","NAmes","1Fam","1Story",5,1960,1960,"TA","TA","Gd","Y",1065,1065,1,"TA",2,"Normal",126500,3,4,3,3,5,2,2,1,4,3,11.7479975871497,6.97073007814353,6.97073007814353
"85","RL","Gilbert","1Fam","SLvl",7,1995,1996,"TA","TA","Gd","Y",804,1474,2,"TA",2,"Normal",168500,4,4,3,3,5,2,2,1,4,3,12.0346910287746,6.68959926917897,7.29573507274928
"86","RL","NoRidge","1Fam","2Story",8,1991,1992,"Gd","TA","Ex","Y",1301,2417,2,"Gd",2,"Normal",260000,6,4,3,4,5,3,3,1,5,3,12.4684369099977,7.1708884785125,7.79028238070348
"87","RL","Gilbert","1Fam","2Story",6,2005,2005,"Gd","TA","Ex","Y",684,1560,2,"Gd",2,"Normal",174000,4,4,3,4,5,3,3,1,5,3,12.0668105781967,6.52795791762255,7.35244110024358
"88","FV","Somerst","TwnhsE","2Story",6,2009,2009,"Gd","TA","Ex","Y",612,1224,2,"Gd",2,"Partial",164500,5,5,3,4,6,3,3,1,5,3,12.0106658491876,6.41673228251233,7.10987946307227
"89","C (all)","IDOTRR","1Fam","1.5Fin",3,1915,1982,"Fa","Fa","TA","N",1013,1526,1,"Fa",0,"Abnorml",85000,1,1,3,2,5,1,1,0,3,2,11.3504065354725,6.92067150424868,7.3304052118444
"90","RL","CollgCr","1Fam","1Story",4,1994,1995,"TA","TA","Ex","Y",990,990,1,"TA",0,"Normal",123600,4,4,3,3,5,2,2,1,5,3,11.7248058240057,6.89770494312864,6.89770494312864
"91","RL","NAmes","1Fam","1Story",4,1950,1950,"TA","TA","TA","Y",1040,1040,1,"TA",2,"Normal",109900,3,4,3,3,5,2,2,1,3,3,11.6073261403917,6.94697599213542,6.94697599213542
"92","RL","NAmes","1Fam","1Story",5,1961,1961,"TA","TA","TA","Y",1235,1235,1,"TA",2,"Abnorml",98600,3,4,3,3,5,2,2,1,3,3,11.4988265405907,7.11882624906208,7.11882624906208
"93","RL","Crawfor","1Fam","1Story",5,1921,2006,"TA","Gd","Ex","Y",964,964,1,"TA",2,"Normal",163500,4,4,3,3,5,2,2,1,5,4,12.0045682693194,6.87109129461055,6.87109129461055
"94","C (all)","OldTown","2fmCon","2.5Unf",6,1910,1998,"TA","TA","Ex","N",1260,2291,2,"TA",2,"Normal",133900,2,1,1,2,5,2,2,0,5,3,11.8048485316793,7.13886699994552,7.7367436824535
"95","RL","CollgCr","1Fam","2Story",6,1997,1997,"TA","Gd","Ex","Y",905,1786,2,"Gd",2,"Normal",204750,4,4,3,4,5,3,2,1,5,4,12.2295450017153,6.80793494369993,7.48773376143644
"96","RL","Gilbert","1Fam","2Story",6,1993,1993,"Ex","Gd","Gd","Y",680,1470,2,"TA",2,"Normal",185000,4,4,3,4,5,2,4,1,4,4,12.1281111040605,6.52209279817015,7.29301767977278
"97","RL","CollgCr","1Fam","1Story",7,1999,1999,"Gd","TA","Ex","Y",1588,1588,2,"Gd",2,"Normal",214000,4,4,3,3,5,3,3,1,5,3,12.273731294004,7.37023064180708,7.37023064180708
"98","RL","Edwards","1Fam","1Story",4,1965,1965,"TA","TA","TA","Y",960,960,1,"TA",1,"Normal",94750,2,4,3,3,5,2,2,1,3,3,11.4589971229447,6.86693328446188,6.86693328446188
"99","RL","Edwards","1Fam","1Story",5,1920,1950,"TA","TA","Fa","N",835,835,1,"TA",1,"Abnorml",83000,2,4,3,3,5,2,2,0,2,3,11.3265958867787,6.72743172485086,6.72743172485086
"100","RL","NAmes","1Fam","1Story",4,1959,1959,"TA","TA","Fa","Y",1225,1225,1,"TA",0,"Normal",128950,3,4,3,3,5,2,2,1,2,3,11.7671800113095,7.11069612297883,7.11069612297883
"101","RL","NWAmes","1Fam","1Story",6,1977,2001,"TA","TA","Gd","Y",1610,1610,2,"Gd",2,"Normal",205000,4,4,3,3,5,3,2,1,4,3,12.2307652581205,7.38398945797851,7.38398945797851
"102","RL","SawyerW","1Fam","2Story",6,1985,1985,"Gd","TA","TA","Y",977,1732,2,"Gd",2,"Normal",178000,4,4,3,4,5,3,3,1,3,3,12.0895388292742,6.88448665204278,7.45703208912238
"103","RL","SawyerW","Duplex","1Story",5,1979,1979,"TA","Fa","TA","Y",1535,1535,2,"TA",2,"Alloca",118964,4,4,2,3,4,2,2,1,3,2,11.6865762053166,7.3362856600213,7.3362856600213
"104","RL","CollgCr","1Fam","1Story",7,2009,2009,"TA","TA","Ex","Y",1226,1226,2,"Gd",3,"Normal",198900,4,4,3,3,5,3,2,1,5,3,12.2005574648421,7.11151211649616,7.11151211649616
"105","RM","IDOTRR","1Fam","1.5Fin",7,1931,1950,"TA","Fa","Ex","Y",1226,1818,1,"TA",1,"Normal",169500,1,2,3,2,5,2,2,1,5,2,12.0406082058026,7.11151211649616,7.50549227473742
"106","FV","Somerst","1Fam","2Story",8,2003,2004,"Gd","TA","Ex","Y",1053,1992,2,"Gd",2,"Normal",250000,5,5,3,4,5,3,3,1,5,3,12.4292161968444,6.95939851213398,7.59689443814454
"107","RM","OldTown","1Fam","1Story",4,1885,1995,"TA","TA","Gd","Y",1047,1047,1,"TA",1,"Normal",100000,2,2,3,3,5,2,2,1,4,3,11.5129254649702,6.95368421087054,6.95368421087054
"108","RM","OldTown","1Fam","1Story",5,1948,1950,"TA","TA","Ex","Y",789,789,1,"TA",1,"Partial",115000,2,2,3,3,6,2,2,1,5,3,11.6526874073454,6.67076632084587,6.67076632084587
"109","RM","IDOTRR","1Fam","1.5Fin",5,1919,2005,"TA","TA","TA","N",997,1517,2,"Fa",0,"Normal",115000,1,2,3,2,5,1,2,0,3,3,11.6526874073454,6.90475076996184,7.32448997934853
"110","RL","NWAmes","1Fam","1Story",6,1977,1977,"TA","TA","Ex","Y",1844,1844,2,"TA",2,"Normal",190000,4,4,3,3,5,2,2,1,5,3,12.1547793511426,7.51969240411654,7.51969240411654
"111","RL","Edwards","1Fam","1.5Fin",6,1954,1972,"TA","TA","Gd","Y",1216,1855,2,"TA",1,"Normal",136900,2,4,3,2,5,2,2,1,4,3,11.8270060112765,7.10332206252611,7.52563997504154
"112","RL","Gilbert","1Fam","SLvl",7,2000,2000,"TA","TA","Ex","Y",774,1430,2,"TA",2,"Normal",180000,4,4,3,3,5,2,2,1,5,3,12.1007121298723,6.65157187358973,7.26542972325395
"113","RL","CollgCr","1Fam","2Story",7,2007,2007,"Gd","TA","Ex","Y",1282,2696,2,"Ex",3,"Partial",383970,4,4,3,4,6,4,3,1,5,3,12.8583197035179,7.15617663748062,7.8995244720322
"114","RL","Crawfor","1Fam","1Story",6,1953,1953,"TA","Gd","TA","Y",2259,2259,2,"Gd",2,"Abnorml",217000,4,4,3,3,5,3,2,1,3,4,12.2876526325226,7.722677516468,7.722677516468
"115","RL","Crawfor","1Fam","2Story",6,1945,2002,"TA","TA","Ex","Y",1436,2320,2,"Gd",1,"Normal",259500,4,4,3,4,5,3,2,1,5,3,12.4665119815881,7.26961674960817,7.74932246466036
"116","FV","Somerst","TwnhsE","2Story",6,1999,1999,"TA","TA","Gd","Y",729,1458,2,"TA",2,"Normal",176000,5,5,3,4,5,2,2,1,4,3,12.0782392740203,6.59167373200866,7.2848209125686
"117","RL","Sawyer","1Fam","1Story",5,1962,1962,"TA","TA","TA","Y",1092,1092,1,"TA",1,"Normal",139000,3,4,3,3,5,2,2,1,3,3,11.8422292121128,6.99576615630485,6.99576615630485
"118","RL","Edwards","1Fam","1Story",5,2006,2007,"TA","TA","Gd","Y",1125,1125,1,"TA",2,"Partial",155000,2,4,3,3,6,2,2,1,4,3,11.9511803959014,7.02553831463852,7.02553831463852
"119","RL","SawyerW","1Fam","2Story",7,1990,1990,"TA","TA","Gd","Y",1699,3222,3,"Gd",3,"Normal",320000,4,4,3,4,5,3,2,1,4,3,12.6760762747759,7.43779512167193,8.07775756373692
"120","RL","CollgCr","1Fam","2Story",6,2005,2006,"Gd","TA","Ex","Y",728,1456,2,"Gd",2,"Partial",163990,4,4,3,4,6,3,3,1,5,3,12.0075607293375,6.59030104819669,7.28344822875663
"121","RL","ClearCr","1Fam","SLvl",6,1969,1969,"TA","TA","Ex","Y",988,988,1,"TA",2,"Normal",180000,4,4,3,3,5,2,2,1,5,3,12.1007121298723,6.89568269774787,6.89568269774787
"122","RM","IDOTRR","1Fam","1.5Fin",4,1939,1950,"TA","TA","Gd","Y",772,1123,1,"TA",1,"Normal",100000,1,2,3,2,5,2,2,1,4,3,11.5129254649702,6.64898455002478,7.02375895473844
"123","RL","NAmes","1Fam","1Story",6,1958,1958,"TA","Gd","Gd","Y",1080,1080,1,"TA",1,"Normal",136000,3,4,3,3,5,2,2,1,4,4,11.8204101647182,6.98471632011827,6.98471632011827
"124","RL","SawyerW","TwnhsE","1Story",6,1993,1993,"Gd","TA","Ex","Y",1199,1199,2,"Gd",2,"Normal",153900,4,4,3,3,5,3,3,1,5,3,11.944058319827,7.08924315502751,7.08924315502751
"125","RL","NWAmes","1Fam","1Story",6,1979,1998,"TA","Gd","TA","Y",1586,1586,2,"TA",2,"Normal",181000,4,4,3,3,5,2,2,1,3,4,12.106252310248,7.36897040219479,7.36897040219479
