"","OverallQual","YearBuilt","FullBath","GarageCars","NHood","MSZone","BType","HStyle","SCond","KQual","ExQual","HQC","X1stFlrSF.log","GrLivArea.log","SalePrice.log"
"42",5,1959,1,1,5,4,3,3,5,2,2,4,7.19142933003638,7.19142933003638,12.0435537160324
"43",5,1983,1,2,4,4,3,2,5,3,2,4,6.78445706263764,6.78445706263764,11.8775685785581
"44",5,1975,1,1,4,4,3,3,5,2,2,3,6.84374994900622,6.84374994900622,11.7772109596156
"45",5,1959,1,1,3,4,3,3,5,2,2,5,7.0475172213573,7.0475172213573,11.8565151693603
"46",9,2005,2,2,6,4,3,3,5,4,4,5,7.46851327149634,7.46851327149634,12.6757637259376
"47",7,2003,1,2,3,4,3,2,5,3,3,5,7.32514895795557,7.67275789664251,12.3870850123755
"48",8,2006,2,3,5,5,3,3,5,3,3,5,7.4121603349452,7.4121603349452,12.4280154762679
"49",4,1920,2,0,2,2,1,4,6,2,2,4,6.60123011872888,7.28069719538474,11.6351430976945
"50",5,1966,1,1,3,4,3,3,5,2,2,5,6.86171134048073,6.86171134048073,11.7519423654407
"51",6,1997,2,2,4,4,3,4,5,2,2,4,6.67708346124714,7.29301767977278,12.083905011556
"52",6,1934,1,2,2,2,3,2,5,2,2,3,6.70441435496411,7.06987412845857,11.6483301019764
"53",5,1963,1,2,1,2,2,3,5,2,1,3,6.70441435496411,6.70441435496411,11.6082356447746
"55",5,1955,1,2,3,4,3,3,5,2,2,3,7.2152399787301,7.2152399787301,11.7752897294377
"56",6,1964,2,2,3,4,3,3,5,2,2,4,7.26192709270275,7.26192709270275,12.1034860567551
"57",8,1999,2,2,5,5,2,4,5,3,3,5,6.89060912014717,7.46106551435428,12.0581525154536
"58",7,2004,2,2,4,4,3,4,5,3,3,5,6.75693238924755,7.4500795698075,12.1884177102915
"59",10,2006,3,3,6,4,3,4,6,3,4,5,7.26262860097424,7.98786409608569,12.9917534274931
"60",5,1972,1,1,4,4,3,3,5,2,2,5,6.65929391968364,6.65929391968364,11.7352686961137
"61",6,2004,1,2,4,4,3,3,6,3,2,5,7.05444965813294,7.05444965813294,11.9703503120091
"62",5,1920,1,1,1,2,3,2,5,1,2,3,6.36475075685191,7.01301578963963,11.5228757958234
"63",8,2006,2,2,6,4,3,3,5,3,3,5,7.22256601882217,7.22256601882217,12.2184951655287
"64",7,1921,2,2,2,2,3,4,5,2,2,4,6.80461452006262,7.44424864949671,11.8493977015914
"65",7,1997,2,2,4,4,3,4,5,3,2,5,6.96318998587024,7.61775957660851,12.2991075114974
"66",8,2004,2,3,6,4,3,4,5,3,3,5,7.04141166379481,7.81318726752142,12.6666570528594
"67",7,1970,2,2,3,4,3,3,5,2,2,3,7.69938940625674,7.69938940625674,12.1007121298723
"68",7,2003,2,2,4,4,3,3,5,3,3,5,7.2991214627108,7.2991214627108,12.3282902782544
"69",4,1945,1,1,2,2,3,3,5,2,2,3,6.61606518513282,6.61606518513282,11.289781913656
"70",7,1953,2,2,4,4,3,2,5,2,3,3,7.1731917424866,7.73499619402278,12.3238556811866
"71",7,1973,2,2,3,4,3,3,5,2,2,5,7.7066129139642,7.7066129139642,12.4049235042753
"72",4,1982,1,2,3,4,3,3,5,2,2,3,6.73933662735717,6.73933662735717,11.7714361601217
"73",7,1998,2,2,4,4,3,4,5,2,2,4,6.78558764500793,7.4489161025442,12.1281111040605
"74",5,1954,1,2,3,4,3,3,5,2,2,4,6.99025650049388,6.99025650049388,11.8837991283088
"75",3,1915,2,1,2,2,3,4,5,2,3,4,6.73340189183736,7.38087903556412,11.5843154610569
"76",4,1973,1,1,1,2,2,3,5,2,2,3,6.26530121273771,6.89568269774787,11.418614785499
"77",4,1956,1,1,3,4,3,3,5,2,2,5,6.85856503479136,6.85856503479136,11.8185702377962
"78",5,1948,1,1,2,2,3,2,5,2,2,3,6.97728134163075,7.15851399732932,11.7519423654407
"79",4,1968,2,0,3,4,2,3,5,2,2,3,7.47760424319759,7.47760424319759,11.8240798936072
"80",5,1910,1,2,2,2,3,4,5,2,2,4,6.52502965784346,7.11476944836646,11.6082356447746
"81",6,1968,2,1,3,4,3,4,5,3,2,3,7.07496319796604,7.66949525100769,12.173032791452
"82",6,1998,2,2,3,2,3,3,5,2,2,5,7.19818357710194,7.19818357710194,11.9414558460094
"83",8,2007,2,3,5,4,3,3,5,3,2,5,7.35436233042148,7.35436233042148,12.4090134895269
"84",5,1960,1,2,3,4,3,3,5,2,2,4,6.97073007814353,6.97073007814353,11.7479975871497
"85",7,1995,2,2,4,4,3,3,5,2,2,4,6.68959926917897,7.29573507274928,12.0346910287746
"86",8,1991,2,2,6,4,3,4,5,3,3,5,7.1708884785125,7.79028238070348,12.4684369099977
"87",6,2005,2,2,4,4,3,4,5,3,3,5,6.52795791762255,7.35244110024358,12.0668105781967
"88",6,2009,2,2,5,5,3,4,6,3,3,5,6.41673228251233,7.10987946307227,12.0106658491876
"89",3,1915,1,0,1,1,3,2,5,1,1,3,6.92067150424868,7.3304052118444,11.3504065354725
"90",4,1994,1,0,4,4,3,3,5,2,2,5,6.89770494312864,6.89770494312864,11.7248058240057
"91",4,1950,1,2,3,4,3,3,5,2,2,3,6.94697599213542,6.94697599213542,11.6073261403917
"92",5,1961,1,2,3,4,3,3,5,2,2,3,7.11882624906208,7.11882624906208,11.4988265405907
"93",5,1921,1,2,4,4,3,3,5,2,2,5,6.87109129461055,6.87109129461055,12.0045682693194
"94",6,1910,2,2,2,1,1,2,5,2,2,5,7.13886699994552,7.7367436824535,11.8048485316793
"95",6,1997,2,2,4,4,3,4,5,3,2,5,6.80793494369993,7.48773376143644,12.2295450017153
"96",6,1993,2,2,4,4,3,4,5,2,4,4,6.52209279817015,7.29301767977278,12.1281111040605
"97",7,1999,2,2,4,4,3,3,5,3,3,5,7.37023064180708,7.37023064180708,12.273731294004
"98",4,1965,1,1,2,4,3,3,5,2,2,3,6.86693328446188,6.86693328446188,11.4589971229447
"99",5,1920,1,1,2,4,3,3,5,2,2,2,6.72743172485086,6.72743172485086,11.3265958867787
"100",4,1959,1,0,3,4,3,3,5,2,2,2,7.11069612297883,7.11069612297883,11.7671800113095
"101",6,1977,2,2,4,4,3,3,5,3,2,4,7.38398945797851,7.38398945797851,12.2307652581205
"102",6,1985,2,2,4,4,3,4,5,3,3,3,6.88448665204278,7.45703208912238,12.0895388292742
"103",5,1979,2,2,4,4,2,3,4,2,2,3,7.3362856600213,7.3362856600213,11.6865762053166
"104",7,2009,2,3,4,4,3,3,5,3,2,5,7.11151211649616,7.11151211649616,12.2005574648421
"105",7,1931,1,1,1,2,3,2,5,2,2,5,7.11151211649616,7.50549227473742,12.0406082058026
"106",8,2003,2,2,5,5,3,4,5,3,3,5,6.95939851213398,7.59689443814454,12.4292161968444
"107",4,1885,1,1,2,2,3,3,5,2,2,4,6.95368421087054,6.95368421087054,11.5129254649702
"108",5,1948,1,1,2,2,3,3,6,2,2,5,6.67076632084587,6.67076632084587,11.6526874073454
"109",5,1919,2,0,1,2,3,2,5,1,2,3,6.90475076996184,7.32448997934853,11.6526874073454
"110",6,1977,2,2,4,4,3,3,5,2,2,5,7.51969240411654,7.51969240411654,12.1547793511426
"111",6,1954,2,1,2,4,3,2,5,2,2,4,7.10332206252611,7.52563997504154,11.8270060112765
"112",7,2000,2,2,4,4,3,3,5,2,2,5,6.65157187358973,7.26542972325395,12.1007121298723
"113",7,2007,2,3,4,4,3,4,6,4,3,5,7.15617663748062,7.8995244720322,12.8583197035179
"114",6,1953,2,2,4,4,3,3,5,3,2,3,7.722677516468,7.722677516468,12.2876526325226
"115",6,1945,2,1,4,4,3,4,5,3,2,5,7.26961674960817,7.74932246466036,12.4665119815881
"116",6,1999,2,2,5,5,3,4,5,2,2,4,6.59167373200866,7.2848209125686,12.0782392740203
"117",5,1962,1,1,3,4,3,3,5,2,2,3,6.99576615630485,6.99576615630485,11.8422292121128
"118",5,2006,1,2,2,4,3,3,6,2,2,4,7.02553831463852,7.02553831463852,11.9511803959014
"119",7,1990,3,3,4,4,3,4,5,3,2,4,7.43779512167193,8.07775756373692,12.6760762747759
"120",6,2005,2,2,4,4,3,4,6,3,3,5,6.59030104819669,7.28344822875663,12.0075607293375
"121",6,1969,1,2,4,4,3,3,5,2,2,5,6.89568269774787,6.89568269774787,12.1007121298723
"122",4,1939,1,1,1,2,3,2,5,2,2,4,6.64898455002478,7.02375895473844,11.5129254649702
"123",6,1958,1,1,3,4,3,3,5,2,2,4,6.98471632011827,6.98471632011827,11.8204101647182
"124",6,1993,2,2,4,4,3,3,5,3,3,5,7.08924315502751,7.08924315502751,11.944058319827
"125",6,1979,2,2,4,4,3,3,5,2,2,3,7.36897040219479,7.36897040219479,12.106252310248
"126",6,1935,1,0,1,2,1,2,5,2,2,4,6.25382881157547,6.62539236800796,11.3445068133453
"127",6,1976,2,2,3,4,3,3,5,2,2,3,6.86484777797086,6.86484777797086,11.7597855429018
"128",5,1930,1,0,2,2,3,1,5,2,2,5,6.73340189183736,6.73340189183736,11.3736633976367
"129",6,1966,1,2,3,4,3,4,5,2,2,3,6.49223983502047,7.20637729147225,11.9511803959014
"130",5,1958,1,2,3,4,3,3,5,4,2,3,6.95939851213398,6.95939851213398,11.9183905730784
"131",7,1966,2,2,3,4,3,4,5,3,2,5,7.10332206252611,7.67647364638916,12.3282902782544
"132",6,2000,2,2,4,4,3,4,5,3,3,5,6.92951677076365,7.6275443904885,12.4049235042753
"133",5,1959,1,2,3,4,3,3,5,3,2,4,7.19067603433221,7.19067603433221,11.9233781145894
"134",8,2001,2,2,5,4,3,3,5,3,3,5,7.16703787691222,7.16703787691222,12.3013828253345
"135",5,1968,2,2,3,4,3,3,5,2,2,4,7.45066079621154,7.45066079621154,12.1007121298723
"136",7,1970,2,2,4,4,3,3,5,2,2,4,7.42773884053289,7.42773884053289,12.0668105781967
"137",5,1967,2,1,3,4,3,3,5,2,2,3,7.10167597161944,7.10167597161944,11.870599909242
"138",7,1988,3,3,3,4,2,3,3,2,2,4,7.58018941794454,7.58018941794454,12.0494188354848
"139",8,1999,2,3,4,4,3,4,5,3,3,5,6.91174730025167,7.52402141520612,12.3458345879053
"140",6,1997,2,2,4,4,3,4,5,3,2,5,6.8330317327862,7.47533923656674,12.3523351525084
"141",4,1971,1,0,3,4,3,3,5,2,2,3,6.76157276880406,6.76157276880406,11.6526874073454
"142",7,2005,2,2,4,4,3,3,5,3,3,5,7.45818615734049,7.45818615734049,12.4684369099977
"143",5,1952,2,2,3,4,3,2,5,2,2,2,6.8134445995109,7.23345541862144,12.0197430673387
"144",7,1999,2,2,4,4,3,3,5,3,3,5,7.31388683163346,7.31388683163346,12.2258752728264
"145",5,1963,2,2,3,2,2,3,5,2,2,3,7.454719949364,7.454719949364,11.7360690162844
"146",6,2004,2,2,2,2,2,4,5,3,3,5,6.87729607149743,7.44366368311559,11.7752897294377
"147",5,1931,1,1,2,2,3,3,5,2,2,3,6.77422388635761,6.77422388635761,11.5617156291397
"148",7,2001,2,2,4,4,3,4,5,3,3,5,6.78445706263764,7.6182510978767,12.3126823805884
"149",7,2004,1,0,4,4,3,3,5,3,2,5,6.98471632011827,6.98471632011827,11.8565151693603
"150",5,1936,1,1,2,2,3,2,5,2,2,4,6.79794041297493,7.20340552108309,11.6526874073454
"151",5,1975,1,2,4,4,3,3,5,2,2,3,6.87626461189077,6.87626461189077,11.7117763237154
"152",8,2007,2,3,6,4,3,3,6,3,3,5,7.44424864949671,7.44424864949671,12.8277291949399
"153",6,1971,2,2,4,4,3,4,5,2,2,4,7.00033446027523,7.59739632021279,12.1547793511426
"154",6,1960,1,2,4,4,3,3,5,2,2,4,7.13249755166004,7.13249755166004,12.3673407931263
"155",6,1923,1,1,2,2,3,3,3,2,2,3,7.09007683577609,7.09007683577609,11.7360690162844
"156",6,1924,1,0,2,4,3,2,5,2,2,2,6.3491389913798,6.99942246750796,11.2772031314492
"157",5,1950,1,2,3,4,3,3,5,2,2,3,6.94697599213542,6.94697599213542,11.6036798282387
"158",8,2009,2,3,5,4,3,4,6,4,3,5,6.65157187358973,7.5847730776122,12.5043236693312
"159",7,2004,2,2,5,5,3,4,5,3,3,5,6.89871453432999,7.5740450053722,12.4486265903642
"160",7,2005,2,2,4,4,3,4,6,3,3,5,7.23849684089437,7.8087293067444,12.6760762747759
"161",6,1984,2,2,5,4,3,3,5,2,2,3,7.11639414409346,7.11639414409346,11.9984332807519
"162",9,2003,2,3,6,4,3,4,5,4,3,5,7.36010397298915,7.88908440703551,12.9299914847569
"163",7,2005,2,2,6,4,3,3,6,3,3,5,7.34018683532012,7.34018683532012,12.3013828253345
"164",4,1956,1,0,2,4,3,1,5,2,2,5,6.78219205600679,6.78219205600679,11.5444241320296
"165",6,1926,2,1,2,2,3,3,5,3,2,4,7.04664727784876,7.38770923908104,11.9316357998284
"166",5,1940,2,0,2,4,1,2,5,2,2,4,6.69456205852109,7.2115567333138,11.7558716435806
"167",5,1955,1,1,4,4,3,3,5,2,3,5,7.53208814354172,7.53208814354172,12.1547793511426
"168",8,2007,1,3,6,4,3,4,6,4,3,5,7.38398945797851,7.67832635650689,12.6934986204678
"169",7,2004,2,2,4,4,3,4,5,3,3,5,6.73340189183736,7.4500795698075,12.1199699464768
"170",8,1981,2,2,5,4,3,3,5,2,3,3,7.44249272279444,7.44249272279444,12.3371009079366
"171",5,1941,1,2,2,2,3,2,5,2,2,3,6.74993119378857,7.23128700432762,11.7636841833174
"172",6,1960,1,2,3,4,3,3,5,2,2,2,7.4121603349452,7.4121603349452,12.2783933071098
"173",7,1987,2,2,6,4,3,4,5,3,3,4,6.96979066990159,7.4770384723197,12.3842188309136
"174",6,1961,1,2,3,4,3,3,5,2,2,3,7.21670948670946,7.21670948670946,12.0015054797889
"175",6,1986,2,2,5,4,3,3,5,2,2,3,7.40913644392013,7.40913644392013,12.1226910365911
"176",6,1950,2,2,2,4,3,3,5,3,2,3,7.67693714581808,7.67693714581808,12.4008167223227
"177",6,1988,2,2,4,4,3,4,5,2,3,3,7.05961762829138,7.63046126178363,12.2596134124582
"178",5,1958,2,2,3,4,3,2,5,3,3,5,7.13249755166004,7.56008046502183,12.0581525154536
"179",9,2008,2,3,6,4,3,3,6,4,4,5,7.71154897962915,7.71154897962915,13.1260306447518
"180",5,1923,1,2,2,2,3,3,5,2,3,3,6.87523208727658,6.87523208727658,11.5129254649702
"181",6,2000,2,2,5,5,2,4,5,3,3,5,6.64509096950564,7.32974968904151,12.083905011556
"182",7,1920,1,1,4,4,3,4,5,2,2,4,6.80350525760834,7.49665243816828,12.2065725205718
"183",5,1957,1,1,2,4,3,3,5,2,2,5,7.20042489294496,7.20042489294496,11.6952470217642
"184",7,2003,2,2,2,2,3,2,5,3,2,5,7.21670948670946,7.64108424917491,12.2060726455302
"185",5,1908,1,2,2,4,3,2,5,2,2,4,6.84161547647759,7.13249755166004,11.7519423654407
"186",10,1892,2,3,2,2,3,4,5,4,3,5,7.32514895795557,8.19090888118251,13.0710700830168
"187",7,1990,2,2,3,4,3,3,5,3,2,5,7.10414409298753,7.10414409298753,12.0610468734799
"188",5,1916,2,1,2,4,3,2,5,2,2,5,6.69456205852109,7.4121603349452,11.8130300574206
"190",8,2001,1,2,6,4,3,3,5,4,3,5,7.37337430991005,7.37337430991005,12.563747089802
"191",8,1932,2,2,4,4,3,4,5,3,3,3,7.34536484041687,7.91095738284559,12.6603279178078
"192",7,1972,1,2,3,4,3,4,5,3,2,4,6.58617165485467,7.2991214627108,12.1226910365911
"193",7,1999,2,2,4,4,3,3,5,3,3,5,7.26612877955645,7.26612877955645,12.1652506510099
"194",7,2004,2,2,2,2,2,4,5,3,3,5,6.87729607149743,7.44366368311559,11.7752897294377
"195",5,1972,1,1,4,4,3,3,5,2,2,3,6.76157276880406,6.76157276880406,11.7519423654407
"196",6,1976,2,2,3,4,2,4,5,2,2,3,6.75110146893676,7.28344822875663,11.9083402372249
"197",7,2007,2,3,5,4,3,3,6,4,4,5,7.45356187164337,7.45356187164337,12.6503481262032
"198",8,1918,2,2,3,4,3,4,5,3,3,4,7.2152399787301,8.04302088529828,12.3673407931263
"199",6,1912,1,0,2,2,3,4,5,2,2,5,6.83410873881384,7.70930833338587,11.5521461781235
"200",8,2004,2,3,6,4,3,3,5,4,3,5,7.44600149832412,7.44600149832412,12.5241626741533
"201",4,2003,2,2,2,2,3,3,5,2,2,5,7.02197642307216,7.02197642307216,11.8493977015914
"202",6,1977,2,2,3,4,3,3,5,2,2,3,7.15383380157884,7.15383380157884,12.0523385455881
"203",6,1924,2,1,2,4,3,2,5,2,2,4,6.76272950693188,7.1777824161952,11.6262541502772
"204",6,2004,1,2,4,2,3,3,5,3,3,5,6.7428806357919,6.7428806357919,11.9117015849276
"205",5,1947,1,1,2,2,3,2,5,2,2,3,6.5792512120101,7.15773548424991,11.6082356447746
"206",7,1990,2,2,4,4,3,3,5,2,2,5,7.27378631784489,7.27378631784489,12.1034860567551
"207",5,1962,1,1,3,4,3,3,5,2,2,3,7.43602781635185,7.43602781635185,11.8768738928755
"208",4,1960,1,1,3,4,3,3,5,2,2,3,7.00306545878646,7.00306545878646,11.8565151693603
"209",7,1988,2,2,4,4,3,4,5,2,3,5,7.07326971745971,7.63143166457691,12.5317727851695
"210",6,1964,1,2,3,4,3,3,5,2,2,5,6.99576615630485,6.99576615630485,11.8844890214027
"211",5,1925,1,0,2,4,3,3,5,2,2,3,6.76157276880406,6.76157276880406,11.4927227576527
"212",6,2009,2,2,2,4,3,3,5,3,2,5,7.10002716662926,7.10002716662926,12.1335019526953
"213",7,2009,2,2,5,5,3,4,6,3,2,5,6.83733281468559,7.52402141520612,12.4398712298317
"214",5,1995,1,2,4,4,3,3,5,2,2,5,6.89770494312864,6.89770494312864,11.9576112862317
"215",6,1977,1,1,4,4,3,4,5,2,2,5,6.53524127101366,7.23849684089437,11.9938072123631
"216",5,1957,1,1,3,4,3,3,5,3,2,3,7.11963563801764,7.11963563801764,11.808947661697
"217",7,2004,2,2,4,4,3,3,5,3,3,5,7.26961674960817,7.26961674960817,12.2548628096996
"218",4,1925,1,1,2,2,3,4,3,2,2,2,6.69703424766648,7.19142933003638,11.580584113444
"219",7,1939,1,2,4,4,3,2,5,3,3,5,7.03614849375054,7.57763383260273,12.6491546172096
"220",7,2005,2,2,4,4,3,3,6,3,3,5,7.12929754892937,7.12929754892937,12.0271851854705
"221",7,2006,2,2,4,4,3,3,6,3,3,5,7.31188616407716,7.31188616407716,12.230277334227
"222",6,2002,2,2,4,4,3,4,5,3,3,5,6.9177056098353,7.72621265050753,12.2060726455302
"223",6,1975,2,2,4,4,3,4,5,2,2,3,6.69826805411541,7.34729970074316,12.1001564199386
"224",4,1971,1,2,3,4,3,3,5,2,2,4,6.76157276880406,6.76157276880406,11.4824662574855
"225",10,2003,2,3,6,4,3,3,5,4,4,5,7.77988511507052,7.77988511507052,12.8642401071941
"226",5,1971,2,1,1,2,2,4,5,2,2,3,6.44571981938558,7.17165682276851,11.6262541502772
"227",7,1995,2,3,6,4,3,4,5,3,3,5,7.10167597161944,7.83201418050547,12.5776362019627
"228",6,1970,1,1,1,2,2,4,5,2,2,3,6.18001665365257,6.89467003943348,11.5711943730942
"229",5,1967,1,1,3,4,3,3,5,2,2,3,6.81563999007433,6.81563999007433,11.7360690162844
"230",7,2005,2,2,4,4,3,3,5,3,3,5,7.34923082461333,7.34923082461333,12.16785143271
"231",6,1959,1,1,3,4,3,3,5,2,2,3,7.08506429395255,7.08506429395255,11.9049675527463
"232",8,1995,2,3,6,4,3,4,5,4,3,5,7.30653139893951,7.93522953981691,12.9066918409288
"233",6,1972,1,1,1,2,2,4,5,2,2,3,6.18001665365257,6.89467003943348,11.4563551134818
"234",5,1976,1,1,4,4,3,3,5,2,2,3,6.79570577517351,6.79570577517351,11.7613468234687
"235",6,2002,2,2,4,4,3,4,5,3,3,5,6.75693238924755,7.58069975222456,12.2853458264247
"236",6,1971,1,1,1,2,3,4,5,2,2,3,6.18001665365257,6.89467003943348,11.4019939042629
"237",7,2004,2,2,4,4,3,3,5,3,3,5,7.25417784645652,7.25417784645652,12.1308101610296
"238",7,1993,2,2,4,4,3,4,5,3,3,5,6.92165818415113,7.46393660446893,12.1781874420406
"239",8,2007,2,3,6,4,3,3,6,3,4,5,7.434847875212,7.434847875212,12.6698066617623
"240",6,1945,1,1,2,4,3,2,5,2,2,3,6.68210859744981,7.30451594646016,11.6351430976945
"241",8,2008,2,2,5,5,3,3,5,3,3,5,7.35627987655075,7.35627987655075,12.4780063610138
"242",5,1945,1,0,2,2,3,3,5,3,2,4,6.76388490856244,6.76388490856244,11.6127707999399
"243",5,1900,1,1,2,2,3,2,5,2,2,4,6.7900972355139,7.27239839257005,11.2772031314492
"244",6,1980,1,1,4,4,3,4,5,2,2,3,6.4393503711001,7.10414409298753,11.6952470217642
"245",7,1994,2,2,4,4,3,4,5,3,3,5,7.10824413973154,7.65444322647011,12.2307652581205
"246",7,1988,2,2,4,4,3,3,5,2,2,4,7.53476265703754,7.53476265703754,12.3946247520748
"247",6,1910,2,1,2,2,1,4,5,1,2,4,6.81124437860129,7.56423847517049,11.8277362048103
"248",6,1954,1,2,3,4,3,3,5,2,2,5,7.22620901010067,7.22620901010067,11.8493977015914
"249",7,2003,2,2,4,4,3,4,5,3,3,5,6.73340189183736,7.41938058291869,12.1007121298723
"250",6,1958,2,2,4,4,3,2,5,3,3,4,7.27517231945277,7.67042852219069,12.5317727851695
"251",3,1940,1,0,2,4,3,3,5,1,2,5,7.17472430983638,7.17472430983638,11.2450460198146
"252",8,2006,2,2,4,2,3,3,3,3,3,5,7.39326309476384,7.39326309476384,12.3673407931263
"253",6,2004,2,2,4,4,3,4,5,3,3,5,6.68210859744981,7.40245152081824,12.0610468734799
"254",6,1964,2,1,3,4,3,3,5,3,2,5,7.17165682276851,7.17165682276851,11.9703503120091
"255",5,1957,1,1,3,4,3,3,5,2,2,3,7.18083119904456,7.18083119904456,11.8844890214027
"256",7,1999,2,2,4,4,3,4,5,3,3,5,6.91274282049318,7.7367436824535,12.3458345879053
"257",6,2003,2,2,5,5,3,4,5,3,3,5,6.76157276880406,7.454719949364,12.2428866186529
"258",7,2006,2,2,4,4,3,3,5,3,3,5,7.38025578842646,7.38025578842646,12.3013828253345
"259",7,2001,2,2,4,4,3,4,5,3,3,5,6.87005341179813,7.49108759353488,12.3523351525084
"260",5,1956,1,1,2,2,3,3,5,2,2,4,6.78219205600679,6.78219205600679,11.4824662574855
"261",6,1962,1,2,3,4,3,3,5,2,2,3,7.23128700432762,7.23128700432762,12.0782392740203
"262",8,2007,2,3,4,4,3,4,6,4,3,5,7.30114780585603,7.85321638815607,12.5281561446993
"263",6,1977,1,2,3,4,3,3,5,2,2,3,7.10002716662926,7.10002716662926,11.9250351157971
"264",5,1929,1,2,2,2,3,2,5,2,2,3,6.83087423464618,7.18235211188526,11.7752897294377
"265",5,1925,1,2,2,2,3,3,5,2,2,4,6.63856778916652,6.63856778916652,11.1982147201305
"266",6,1981,2,2,4,4,3,3,5,3,2,3,7.25981961036319,7.25981961036319,12.0753943218881
"267",6,1997,2,2,4,4,3,4,5,2,2,4,6.68710860786651,7.32052696227274,12.1281111040605
"268",5,1939,2,1,3,4,3,4,5,3,2,5,6.95844839329766,7.69256964806791,12.0979304869105
